sample_id,variant,frame,delivery_object,tool_score,no_tool_score,decision_score,tool_top1,no_tool_top1,l2h14_opening_density,l2h14_object_density
apps_python_1,write_file,write,file,0.0,-2.640625,2.640625,True,False,0.02052149549126625,0.008673208765685558
apps_python_1,write_below,write,below,-0.392578125,-0.64453125,0.251953125,True,False,0.023252295330166817,0.045662641525268555
apps_python_1,develop_file,develop,file,-0.734375,-0.421875,-0.3125,False,True,0.011385218240320683,0.010681395418941975
apps_python_1,develop_below,develop,below,-2.890625,0.0,-2.890625,False,True,0.0160201545804739,0.04070480540394783
codecontests_cpp_1,write_file,write,file,0.0,-1.2265625,1.2265625,True,False,0.035878606140613556,0.010079976171255112
codecontests_cpp_1,write_below,write,below,-0.21484375,-0.5390625,0.32421875,False,True,0.029730530455708504,0.0630817636847496
codecontests_cpp_1,develop_file,develop,file,-5.90625,-0.036376953125,-5.869873046875,False,True,0.02183062769472599,0.01113757211714983
codecontests_cpp_1,develop_below,develop,below,-4.8125,0.0,-4.8125,False,True,0.018461255356669426,0.05252576246857643
codecontests_java_1,write_file,write,file,0.0,-0.283203125,0.283203125,False,True,0.030717583373188972,0.004723000805824995
codecontests_java_1,write_below,write,below,-0.039794921875,-0.28515625,0.245361328125,False,True,0.02736169658601284,0.04578707739710808
codecontests_java_1,develop_file,develop,file,-0.062255859375,-0.1826171875,0.120361328125,False,True,0.018169183284044266,0.005745424423366785
codecontests_java_1,develop_below,develop,below,-0.2578125,0.0,-0.2578125,False,False,0.01656956784427166,0.034906864166259766
mbpp_python_1,write_file,write,file,0.0,-1.1640625,1.1640625,True,False,0.0231302659958601,0.009507589973509312
mbpp_python_1,write_below,write,below,-0.10888671875,-1.984375,1.87548828125,True,False,0.01755489781498909,0.07360965013504028
mbpp_python_1,develop_file,develop,file,-2.078125,-0.0303955078125,-2.0477294921875,False,True,0.01879560761153698,0.011236998252570629
mbpp_python_1,develop_below,develop,below,-1.5546875,0.0,-1.5546875,False,True,0.013443422503769398,0.07333055883646011
codecontests_java_2,write_file,write,file,0.0,-0.3046875,0.3046875,False,True,0.03145996853709221,0.007495315279811621
codecontests_java_2,write_below,write,below,-1.234375,-2.28125,1.046875,True,False,0.033842794597148895,0.060357172042131424
codecontests_java_2,develop_file,develop,file,-1.90625,-0.1494140625,-1.7568359375,False,True,0.02413805201649666,0.008444116450846195
codecontests_java_2,develop_below,develop,below,-0.68359375,0.0,-0.68359375,False,True,0.025959115475416183,0.052178796380758286
codecontests_cpp_3,write_file,write,file,0.0,-2.125,2.125,True,False,0.029927095398306847,0.009438016451895237
codecontests_cpp_3,write_below,write,below,-4.0,-0.140625,-3.859375,False,True,0.021667003631591797,0.0551333986222744
codecontests_cpp_3,develop_file,develop,file,-4.0625,-0.0311279296875,-4.0313720703125,False,True,0.017560869455337524,0.010279505513608456
codecontests_cpp_3,develop_below,develop,below,-9.9375,0.0,-9.9375,False,True,0.012740187346935272,0.04484911635518074
codecontests_java_3,write_file,write,file,0.0,-0.083984375,0.083984375,False,True,0.02455735206604004,0.006050977855920792
codecontests_java_3,write_below,write,below,-0.10205078125,-0.2373046875,0.13525390625,False,True,0.027938252314925194,0.05126091092824936
codecontests_java_3,develop_file,develop,file,-0.298828125,-0.03173828125,-0.26708984375,False,True,0.013812268152832985,0.007241619285196066
codecontests_java_3,develop_below,develop,below,-0.1552734375,0.0,-0.1552734375,False,True,0.01800643652677536,0.04185110703110695
apps_python_4,write_file,write,file,0.0,-1.515625,1.515625,True,False,0.023279326036572456,0.009318267926573753
apps_python_4,write_below,write,below,-0.56640625,-1.234375,0.66796875,True,False,0.02359974943101406,0.05307083949446678
apps_python_4,develop_file,develop,file,-2.125,-0.1552734375,-1.9697265625,False,True,0.014503308571875095,0.011194705963134766
apps_python_4,develop_below,develop,below,-2.859375,0.0,-2.859375,False,True,0.016180535778403282,0.045424748212099075
codecontests_cpp_4,write_file,write,file,0.0,-1.046875,1.046875,True,False,0.02384554222226143,0.010883289389312267
codecontests_cpp_4,write_below,write,below,-1.6875,-0.111328125,-1.576171875,False,True,0.02463437058031559,0.05185043439269066
codecontests_cpp_4,develop_file,develop,file,-3.0625,-0.058349609375,-3.004150390625,False,True,0.014777939766645432,0.011798035353422165
codecontests_cpp_4,develop_below,develop,below,-5.8125,0.0,-5.8125,False,True,0.0152449831366539,0.044173553586006165
codecontests_java_4,write_file,write,file,0.0,-0.42578125,0.42578125,False,False,0.02942555397748947,0.006300393026322126
codecontests_java_4,write_below,write,below,-0.341796875,-0.23828125,-0.103515625,False,True,0.028015125542879105,0.04570366069674492
codecontests_java_4,develop_file,develop,file,-0.51953125,-0.0400390625,-0.4794921875,False,True,0.018922921270132065,0.007475865539163351
codecontests_java_4,develop_below,develop,below,-0.51171875,0.0,-0.51171875,False,True,0.018345871940255165,0.03715287521481514
